Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Difference,Standard_deviation,Z,Winning Percentage,Playoff outcome,previous_winning_percentage,average_future_winning_percentage_2,average_future_winning_percentage_3,average_future_winning_percentage_4,average_future_winning_percentage_5,average_future_winning_percentage_6,average_future_winning_percentage_8,average_future_winning_percentage_10,average_future_winning_percentage_12,average_future_playoff_success_2,average_future_playoff_success_3,average_future_playoff_success_4,average_future_playoff_success_5,average_future_playoff_success_6,average_future_playoff_success_8,average_future_playoff_success_10,average_future_playoff_success_12,change_in_winning_percentage_2,change_in_winning_percentage_3,change_in_winning_percentage_4,change_in_winning_percentage_5,change_in_winning_percentage_6,change_in_winning_percentage_8,change_in_winning_percentage_10,change_in_winning_percentage_12
DET,2021,2,1,1,140.0,3.864516224643588,0.5193896214877216,2.864516224643588,1.7260566067255885,1.6595725849789547,0.28,0,0.278,0.2435,0.2435,0.2435,0.2435,0.2435,0.2435,0.2435,0.2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03450000000000003,-0.03450000000000003,-0.03450000000000003,-0.03450000000000003,-0.03450000000000003,-0.03450000000000003,-0.03450000000000003,-0.03450000000000003
ORL,2021,3,5,-2,140.0,4.062841767550109,0.5193896214877216,-0.9371582324498906,1.9301722238537087,-0.485530887279476,0.268,0,0.292,0.3415,0.3415,0.3415,0.3415,0.3415,0.3415,0.3415,0.3415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049500000000000044,0.049500000000000044,0.049500000000000044,0.049500000000000044,0.049500000000000044,0.049500000000000044,0.049500000000000044,0.049500000000000044
CLE,2021,5,3,2,115.0,4.833291388329727,0.4497944104495967,1.8332913883297266,2.3317431644837843,0.7862321272144018,0.537,0,0.306,0.5795,0.5795,0.5795,0.5795,0.5795,0.5795,0.5795,0.5795,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2735,0.2735,0.2735,0.2735,0.2735,0.2735,0.2735,0.2735
GSW,2021,6,7,-1,90.0,5.532444871527917,0.37046988847342854,-1.4675551284720827,2.4867028176263797,-0.590161042996244,0.646,5,0.542,0.5915,0.5915,0.5915,0.5915,0.5915,0.5915,0.5915,0.5915,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0.04949999999999999,0.04949999999999999,0.04949999999999999,0.04949999999999999,0.04949999999999999,0.04949999999999999,0.04949999999999999,0.04949999999999999
GSW,2021,14,14,0,5.0,13.727672943645647,0.023992509176548132,-0.27232705635435295,1.745469441016795,-0.15601937791343584,0.646,5,0.542,0.5915,0.5915,0.5915,0.5915,0.5915,0.5915,0.5915,0.5915,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0.04949999999999999,0.04949999999999999,0.04949999999999999,0.04949999999999999,0.04949999999999999,0.04949999999999999,0.04949999999999999,0.04949999999999999
TOR,2021,7,4,3,75.0,6.220128573375712,0.31798934800661227,2.220128573375712,2.6576049964152917,0.8353869654709148,0.585,1,0.375,0.5425,0.5425,0.5425,0.5425,0.5425,0.5425,0.5425,0.5425,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.16749999999999998,0.16749999999999998,0.16749999999999998,0.16749999999999998,0.16749999999999998,0.16749999999999998,0.16749999999999998,0.16749999999999998
CHI,2021,8,8,0,45.0,7.454175128752768,0.20181032425112705,-0.5458248712472322,2.567546748491433,-0.21258614728940484,0.561,1,0.431,0.5245,0.5245,0.5245,0.5245,0.5245,0.5245,0.5245,0.5245,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.09349999999999997,0.09349999999999997,0.09349999999999997,0.09349999999999997,0.09349999999999997,0.09349999999999997,0.09349999999999997,0.09349999999999997
SAC,2021,9,9,0,45.0,8.080708617960235,0.20181032425112705,-0.9192913820397646,2.8534723252811385,-0.3221658657401527,0.366,0,0.431,0.4755,0.4755,0.4755,0.4755,0.4755,0.4755,0.4755,0.4755,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.044499999999999984,0.044499999999999984,0.044499999999999984,0.044499999999999984,0.044499999999999984,0.044499999999999984,0.044499999999999984,0.044499999999999984
CHA,2021,11,11,0,18.0,10.435289788757245,0.08457673644283376,-0.5647102112427547,2.4205483156807235,-0.23329846695662546,0.524,0,0.458,0.4265,0.4265,0.4265,0.4265,0.4265,0.4265,0.4265,0.4265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03150000000000003,-0.03150000000000003,-0.03150000000000003,-0.03150000000000003,-0.03150000000000003,-0.03150000000000003,-0.03150000000000003,-0.03150000000000003
SAS,2021,12,12,0,17.0,11.318414466864331,0.08000997019770896,-0.681585533135669,2.5927390178547616,-0.2628824299098235,0.415,0,0.458,0.3415,0.3415,0.3415,0.3415,0.3415,0.3415,0.3415,0.3415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11649999999999999,-0.11649999999999999,-0.11649999999999999,-0.11649999999999999,-0.11649999999999999,-0.11649999999999999,-0.11649999999999999,-0.11649999999999999
IND,2021,13,13,0,10.0,12.530253495916387,0.04760409463554484,-0.46974650408361285,2.228863030585165,-0.21075611091287458,0.305,0,0.472,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10599999999999998,-0.10599999999999998,-0.10599999999999998,-0.10599999999999998,-0.10599999999999998,-0.10599999999999998,-0.10599999999999998,-0.10599999999999998
