Team,Year,Rank,Result,Combinations,Expected_Value,Lottery_Chance,Change
PHX,2019,6,6,140.0,5.154927800257232,0.5195313028246746,0.8450721997427681
CHI,2019,7,7,125.0,5.626325814778941,0.4788987095470929,1.3736741852210592
ATL,2019,8,8,105.0,6.295445910702432,0.41939004400195423,1.7045540892975684
WAW,2019,9,9,90.0,6.98475827919267,0.3705825782011835,2.01524172080733
NOP,2019,1,1,60.0,4.364480913929256,0.2618555681374585,-3.364480913929256
MEM,2019,2,2,60.0,4.89319437154858,0.2618555681374585,-2.8931943715485797
DAL,2019,10,10,60.0,8.28130519806244,0.2618555681374585,1.7186948019375592
MIN,2019,11,11,30.0,9.97064102155648,0.13818239045248246,1.0293589784435202
LAL,2019,4,4,20.0,6.525438695648164,0.09369359288660478,-2.5254386956481643
CHA,2019,12,12,10.0,11.646823109300323,0.04761974487811947,0.35317689069967706
MIA,2019,13,13,10.0,12.5530157908683,0.04761974487811947,0.4469842091316991
SAC,2019,14,14,10.0,13.459208472436247,0.04761974487811947,0.5407915275637531
PHX,2018,1,1,250.0,2.652965883294746,0.6402729785024232,-1.6529658832947458
MEM,2018,4,4,200.0,3.537622762345197,0.556074864296308,0.462377237654803
DAL,2018,5,5,138.0,4.288075430760404,0.4222752178296959,0.7119245692395957
ATL,2018,3,3,137.0,3.7951900958700033,0.4198273796309712,-0.7951900958700033
ORL,2018,6,6,88.0,5.267067627917838,0.2884581073786934,0.7329323720821623
CHI,2018,7,7,53.0,6.392767359362456,0.1813128618881915,0.6072326406375437
SAC,2018,2,2,53.0,3.9337121635441727,0.1813128618881915,-1.9337121635441727
BKN,2018,8,8,28.0,7.630517970180939,0.0984709796718568,0.36948202981906064
NYK,2018,9,9,17.0,8.744524647665457,0.060470819841973375,0.25547535233454255
LAL,2018,10,10,11.0,9.81758535403673,0.03936433123617002,0.18241464596327006
CHA,2018,11,11,8.0,10.848808453134374,0.028713388627047032,0.15119154686562553
DET,2018,12,12,7.0,11.83410787590699,0.025148801353765647,0.16589212409300913
LAC,2018,13,13,6.0,12.830082375686288,0.021577128177095447,0.1699176243137117
DEN,2018,14,14,5.0,13.836783653964277,0.017998399612432478,0.163216346035723
BKN,2017,1,1,250.0,2.6456421175830265,0.6403728069724952,-1.6456421175830265
PHX,2017,4,4,199.0,3.557734873524593,0.5542761274543423,0.44226512647540694
LAL,2017,2,2,156.0,3.214051113830613,0.46481388463624995,-1.214051113830613
PHI,2017,5,5,119.0,4.517356311045218,0.37422668673705456,0.4826436889547816
ORL,2017,6,6,88.0,5.315594504807976,0.28850773657099765,0.6844054951920242
MIN,2017,7,7,53.0,6.443199151616817,0.1813451096540335,0.5568008483831832
NYK,2017,8,8,53.0,7.10028135331189,0.1813451096540335,0.8997186466881102
SAC,2017,3,3,28.0,4.58363185278802,0.09848891367769191,-1.5836318527880202
DAL,2017,9,9,17.0,8.712546766438543,0.060481946474193846,0.28745323356145747
NOP,2017,10,10,11.0,9.781683283464774,0.039371614316994916,0.21831671653522555
CHA,2017,11,11,8.0,10.809125565467356,0.028718715643999325,0.19087443453264363
DET,2017,12,12,7.0,11.790772670439397,0.025153471292357517,0.20922732956060308
DEN,2017,13,13,6.0,12.783075461880165,0.02158113851508987,0.21692453811983547
MIA,2017,14,14,5.0,13.786085641441774,0.018001747831576168,0.21391435855822571
PHI,2016,1,1,250.0,2.6455851758662936,0.640412815368183,-1.6455851758662936
LAL,2016,2,2,199.0,2.977646877122144,0.5543148661550406,-0.9776468771221438
BKN,2016,3,3,156.0,3.4035324086893057,0.4648485253021013,-0.40353240868930573
PHX,2016,4,4,119.0,3.9650762072085204,0.37425554556264673,0.03492379279147961
MIN,2016,5,5,88.0,4.684179027736289,0.28853031240908245,0.31582097226371086
NOP,2016,6,6,63.0,5.548666639329785,0.21306438439844536,0.45133336067021457
NYK,2016,7,7,43.0,6.537463887477298,0.1488189689553407,0.4625361125227023
SAC,2016,8,8,19.0,7.820394165969009,0.06746517204168181,0.1796058340309914
DEN,2016,9,9,19.0,8.6875964639764,0.06746517204168181,0.3124035360236004
MIL,2016,10,10,18.0,9.585921286532333,0.0639796141740421,0.4140787134676671
ORL,2016,11,11,8.0,10.809113223105676,0.02872093292621495,0.19088677689432387
UTA,2016,12,12,7.0,11.790758355599747,0.025155412203516532,0.20924164440025272
WAS,2016,13,13,6.0,12.783060051024888,0.021582802809023457,0.21693994897511182
CHI,2016,14,14,5.0,13.786070014500588,0.018003135272499134,0.2139299854994121
MIN,2015,1,1,250.0,2.6453988815397675,0.640550900186089,-1.6453988815397675
NYK,2015,4,4,199.0,3.404716164531809,0.5544458056518548,0.5952838354681909
PHI,2015,3,3,156.0,3.504871491906205,0.4649642763903354,-0.5048714919062052
LAL,2015,2,2,119.0,3.4436023979191623,0.37435126324834894,-1.4436023979191623
ORL,2015,5,5,88.0,4.683576746017335,0.28860481035257424,0.3164232539826646
SAC,2015,6,6,63.0,5.548022865564858,0.21311937684664184,0.4519771344351424
DEN,2015,7,7,43.0,6.536808133918408,0.14885718434796708,0.46319186608159235
DET,2015,8,8,28.0,7.602527892001192,0.09852172144208043,0.3974721079988077
CHA,2015,9,9,17.0,8.712457055014408,0.060501978163225625,0.2875429449855922
MIA,2015,10,10,11.0,9.78161467440419,0.03938460743479916,0.21838532559580948
IND,2015,11,11,8.0,10.809065475010229,0.02872817503435114,0.19093452498977115
UTA,2015,12,12,7.0,11.79070713287019,0.025161750928581507,0.20929286712980932
PHX,2015,13,13,6.0,12.78300778317856,0.021588237547686163,0.2169922168214402
OKC,2015,14,14,5.0,13.78601914314443,0.018007665454612035,0.21398085685557078
MIL,2014,2,2,250.0,2.9761934598007613,0.6401630644852268,-0.9761934598007613
PHI,2014,3,3,199.0,3.388874463850542,0.5540718475726634,-0.3888744638505419
ORL,2014,4,4,156.0,3.899302567744945,0.4646306032567911,0.10069743225505512
UTA,2014,5,5,104.0,4.730451146542911,0.33371888263227667,0.26954885345708934
BOS,2014,6,6,103.0,5.154321763440282,0.33095442635133443,0.845678236559718
LAL,2014,7,7,63.0,6.282618102429867,0.21295874016564648,0.7173818975701334
