Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Lottery_luck
SAC,2020,12,12,0,13.0,11.500544099650176,0.06167611238066699,-0.49945590034982423
NOP/CHA,2020,13,13,0,12.0,12.432487956190627,0.05702424554057655,-0.5675120438093728
MEM/VAN,2020,14,14,0,5.0,13.727302694726209,0.02402767534978432,-0.2726973052737911
NYK,2019,1,3,-2,140.0,3.6659431600784376,0.5195313028246746,0.6659431600784376
CLE,2019,2,5,-3,140.0,3.8641068338386426,0.5195313028246746,-1.1358931661613574
PHX,2019,3,6,-3,140.0,4.062270507598859,0.5195313028246746,-1.9377294924011412
CHI,2019,4,7,-3,125.0,4.436608813950809,0.4788987095470929,-2.5633911860491914
ATL,2019,5,8,-3,105.0,4.962191661996893,0.41939004400195423,-3.0378083380031073
WAS,2019,6,9,-3,90.0,5.532631387089035,0.3705825782011835,-3.467368612910965
NOP/CHA,2019,7,1,6,60.0,6.56111002417801,0.2618555681374585,5.56111002417801
MEM/VAN,2019,8,2,6,60.0,7.089823481797358,0.2618555681374585,5.089823481797358
DAL,2019,9,10,-1,60.0,7.618536939416728,0.2618555681374585,-2.381463060583272
MIN,2019,10,11,-1,30.0,9.1933630289459,0.13818239045248246,-1.8066369710541004
LAL,2019,11,4,7,20.0,10.349606187995695,0.09369359288660478,6.349606187995695
CHA,2019,12,12,0,10.0,11.646823109300323,0.04761974487811947,-0.35317689069967706
MIA,2019,13,13,0,10.0,12.5530157908683,0.04761974487811947,-0.4469842091316991
SAC,2019,14,14,0,10.0,13.459208472436247,0.04761974487811947,-0.5407915275637531
PHX,2018,1,1,0,250.0,2.652965883294746,0.6402729785024232,1.6529658832947458
MEM/VAN,2018,2,4,-2,200.0,2.9822894464896503,0.556074864296308,-1.0177105535103497
DAL,2018,3,5,-2,138.0,3.5441183556979228,0.4222752178296959,-1.4558816443020772
ATL,2018,4,3,1,137.0,3.8430090466718414,0.4198273796309712,0.8430090466718414
ORL,2018,5,6,-1,88.0,4.7002267500177695,0.2884581073786934,-1.2997732499822305
CHI,2018,6,7,-1,53.0,5.732673284054501,0.1813128618881915,-1.267326715945499
SAC,2018,7,2,5,53.0,6.392767359362456,0.1813128618881915,4.392767359362456
BKN,2018,8,8,0,28.0,7.630517970180939,0.0984709796718568,-0.36948202981906064
NYK,2018,9,9,0,17.0,8.744524647665457,0.060470819841973375,-0.25547535233454255
LAL,2018,10,10,0,11.0,9.81758535403673,0.03936433123617002,-0.18241464596327006
CHA,2018,11,11,0,8.0,10.848808453134374,0.028713388627047032,-0.15119154686562553
DET,2018,12,12,0,7.0,11.83410787590699,0.025148801353765647,-0.16589212409300913
LAC,2018,13,13,0,6.0,12.830082375686288,0.021577128177095447,-0.1699176243137117
DEN,2018,14,14,0,5.0,13.836783653964277,0.017998399612432478,-0.163216346035723
BKN,2017,1,1,0,250.0,2.6456421175830265,0.6403728069724952,1.6456421175830265
PHX,2017,2,4,-2,199.0,2.977750903058571,0.5542761274543423,-1.022249096941429
LAL,2017,3,2,1,156.0,3.4036983412919612,0.46481388463624995,1.4036983412919612
PHI,2017,4,5,-1,119.0,3.9652936492688307,0.37422668673705456,-1.0347063507311693
ORL,2017,5,6,-1,88.0,4.68443317940357,0.28850773657099765,-1.3155668205964304
MIN,2017,6,7,-1,53.0,5.712470915760015,0.1813451096540335,-1.287529084239985
